Cluster index	Plant 1	GNPS annotation	Scaffold type of the GNPS annotated ion
2057	Uncaria scandens	Uncarine F	Ajmalicine spirooxindole
2322	Mitragyna rotundifolia	Corynoxeine	Corynantheane spirooxindole
2273	Uncaria scandens		
1809	Rauvolfia littoralis	Rauwolscine	Yohimbinoid
2754	Mitragyna rotundifolia		
2220	Mitragyna rotundifolia		
3114	Mitragyna rotundifolia		
3210	Mitragyna rotundifolia		
2859	Uncaria scandens		
2784	Mitragyna rotundifolia		
2269	Mitragyna hirsuta	Isomitraphylline	Ajmalicine spirooxindole
2752	Mitragyna hirsuta	Isocorynoxine	Corynantheane spirooxindole
2653	Mitragyna hirsuta		
1595	Tabernaemontana bovina	Tabernaemontanine	Vobasine
1604	Stemmadenia pubescens		
1119	Stemmadenia pubescens		
2400	Mitragyna rotundifolia		
2882	Mitragyna rotundifolia		
3660	Stemmadenia pubescens		
3470	Mitragyna hirsuta		
2172	Rauvolfia littoralis		
1741	Uncaria scandens	Pumiloside	Camptothecin
1521	Rauvolfia tetraphylla		
2469	Rauvolfia tetraphylla		
1395	Strychnos thorelii		
2279	Rauvolfia tetraphylla	Carapanaubine	Ajmalicine spirooxindole
702	Rauvolfia tetraphylla		
2237	Rauvolfia littoralis		
3602	Mitragyna hirsuta		
2425	Mitragyna rotundifolia	Carapanaubine	Ajmalicine spirooxindole
2005	Rauvolfia littoralis	Carapanaubine	Ajmalicine spirooxindole
1654	Cephaelis lecomtei		
3456	Stemmadenia pubescens		
3859	Uncaria scandens		
1877	Rauvolfia littoralis		
2956	Mitragyna rotundifolia		
2928	Mitragyna hirsuta		
2874	Uncaria scandens	Speciophylline	Ajmalicine spirooxindole
3564	Tabernaemontana granatum		
1867	Uncaria scandens		
695	Rauvolfia micrantha		
3668	Mitragyna hirsuta		
2289	Tabernaemontana bovina	Ervatamine	Ervatamia
2725	Rauvolfia littoralis		
3517	Mitragyna hirsuta		
1706	Tabernaemontana bovina		
2285	Rauvolfia tetraphylla		
1818	Tabernaemontana bovina	7α-voacangine hydroxyindolenine	Iboga
2618	Timonius arboreus		
3285	Mitragyna hirsuta	Corynantheidine	Corynantheane
1737	Mitragyna rotundifolia		
3234	Stemmadenia pubescens		
3241	Uncaria scandens		
1011	Strychnos thorelii		
2264	Mitragyna rotundifolia	Methyl-(16Z)-9-hydroxy-16-(methoxymethylene)-2-oxocoryxan-17-oate	Corynantheane spirooxindole
2680	Mitragyna rotundifolia		
773	Rauvolfia tetraphylla		
1097	Stemmadenia pubescens		
1326	Rauvolfia littoralis		
1583	Rauvolfia littoralis		
2628	Mitragyna rotundifolia		
2030	Tabernaemontana granatum		
1798	Stemmadenia pubescens		
817	Rauvolfia micrantha		
2522	Rauvolfia littoralis		
1649	Tabernaemontana granatum		
3647	Iserta laevis		
3188	Rauvolfia littoralis		
3081	Stemmadenia pubescens		
1189	Rauvolfia micrantha		
3990	Rauvolfia littoralis		
2800	Uncaria scandens		
2555	Rauvolfia littoralis	Isoreserpiline	Ajmalicine
3865	Uncaria scandens		
763	Strychnos thorelii		
452	Rauvolfia littoralis		
1922	Uncaria scandens		
2886	Rauvolfia littoralis		
2363	Rauvolfia littoralis		
2695	Mitragyna rotundifolia		
3040	Tabernaemontana granatum		
1478	Strychnos ovata		
3005	Uncaria scandens	Speciophylline	Ajmalicine spirooxindole
1291	Rauvolfia micrantha		
3683	Melodinus cochinchinensis		
3097	Iserta laevis		
1682	Mitragyna rotundifolia		
3892	Mitragyna rotundifolia		
954	Rauvolfia micrantha		
2229	Mitragyna rotundifolia		
3266	Mitragyna rotundifolia		
2915	Rauvolfia littoralis		
3880	Kopsia singapurensis		
1530	Rauvolfia littoralis		
1688	Uncaria scandens		
2810	Rauvolfia littoralis		
1118	Tabernaemontana granatum		
2510	Mitragyna rotundifolia		
2583	Uncaria scandens		
3507	Mitragyna hirsuta		
3258	Mitragyna rotundifolia		
2027	Rauvolfia littoralis		
1670	Cephaelis lecomtei		
1513	Uncaria scandens		
651	Uncaria scandens		
2036	Uncaria scandens		
1882	Uncaria scandens	Formosanine	Ajmalicine spirooxindole
3931	Mitragyna rotundifolia		
